"rid","code","len","runtime_us","ts"
1,200,5966,216448,2026-02-16 00:30:03.287
2,200,5966,58728,2026-02-16 00:31:02.879
3,200,5966,56413,2026-02-16 00:32:03.838
4,200,5966,58148,2026-02-16 00:33:04.095
5,200,5966,56006,2026-02-16 00:34:04.357
6,200,5966,73893,2026-02-16 00:35:03.513
7,200,5966,60510,2026-02-16 00:36:03.446
8,200,5966,60606,2026-02-16 00:37:03.741
9,200,5966,56149,2026-02-16 00:38:02.974
10,200,5966,57425,2026-02-16 00:39:02.331
11,200,5966,68792,2026-02-16 00:40:01.928
12,200,5966,204604,2026-02-16 00:41:01.243
13,200,5966,55320,2026-02-16 00:42:00.901
14,200,5966,56772,2026-02-16 00:43:00.157
15,200,5966,51309,2026-02-16 00:43:59.992
16,200,5966,58418,2026-02-16 00:45:00.391
17,200,5966,54705,2026-02-16 00:46:01.216
18,200,5966,66056,2026-02-16 00:47:00.731
19,200,5966,79798,2026-02-16 00:48:24.453
20,200,5966,93796,2026-02-16 00:49:24.518
21,200,5966,55313,2026-02-16 00:50:24.749
22,200,5966,55523,2026-02-16 00:51:25.508
23,200,5966,67650,2026-02-16 00:52:26.132
24,200,5966,62876,2026-02-16 00:53:26.371
25,200,5966,51274,2026-02-16 00:54:25.659
26,200,5966,62026,2026-02-16 00:55:25.261
27,200,5966,57428,2026-02-16 00:56:26.253
28,200,5966,57753,2026-02-16 00:57:25.713
29,200,5966,65598,2026-02-16 00:58:24.986
30,200,5966,59544,2026-02-16 00:59:25.594
31,200,5966,64769,2026-02-16 01:00:25.971
32,200,5966,58961,2026-02-16 01:01:27.016
33,200,5966,57479,2026-02-16 01:02:27.390
34,200,5966,67176,2026-02-16 01:03:26.925
35,200,5966,53299,2026-02-16 01:04:27.324
36,200,5966,57341,2026-02-16 01:05:26.957
37,200,5966,69561,2026-02-16 01:06:27.191
38,200,5966,59786,2026-02-16 01:07:27.988
39,200,5966,269105,2026-02-16 01:08:27.654
40,200,5966,65846,2026-02-16 01:09:28.205
41,200,5966,65758,2026-02-16 01:10:27.294
42,200,5966,73698,2026-02-16 01:11:27.944
43,200,5966,68577,2026-02-16 01:12:27.516
44,200,5966,66337,2026-02-16 01:13:27.126
45,200,5966,76286,2026-02-16 01:14:27.600
46,200,5966,71774,2026-02-16 01:15:27.467
47,200,5966,60279,2026-02-16 01:16:26.560
48,200,5966,55937,2026-02-16 01:17:25.722
49,200,5966,85922,2026-02-16 01:18:26.524
50,200,5966,74038,2026-02-16 01:19:27.563
51,200,5966,68670,2026-02-16 01:20:27.631
52,200,5966,82362,2026-02-16 01:21:27.263
53,200,5966,65681,2026-02-16 01:22:27.244
54,200,5966,64006,2026-02-16 01:23:27.574
55,200,5966,58793,2026-02-16 01:24:28.127
56,200,5966,65213,2026-02-16 01:25:27.716
57,200,5966,92625,2026-02-16 01:26:27.881
58,200,5966,61844,2026-02-16 01:27:27.574
59,200,5966,58464,2026-02-16 01:28:27.639
60,200,5966,70052,2026-02-16 01:29:27.898
61,200,5966,83384,2026-02-16 01:30:28.018
62,200,5966,64444,2026-02-16 01:31:28.580
63,200,5966,59203,2026-02-16 01:32:29.167
64,200,5966,61574,2026-02-16 01:33:29.093
65,200,5966,56968,2026-02-16 01:34:29.673
66,200,5966,56596,2026-02-16 01:35:28.774
67,200,5966,76752,2026-02-16 01:36:28.561
68,200,5966,86190,2026-02-16 01:37:28.133
69,200,5966,61957,2026-02-16 01:38:28.546
70,200,5966,55832,2026-02-16 01:39:27.754
71,200,5966,54913,2026-02-16 01:40:26.913
72,200,5966,63056,2026-02-16 01:41:27.833
73,200,5966,60694,2026-02-16 01:42:26.932
74,200,5966,219613,2026-02-16 01:43:27.973
75,200,5966,64059,2026-02-16 01:44:27.911
76,200,5966,59459,2026-02-16 01:45:28.393
77,200,5966,56532,2026-02-16 01:46:29.090
78,200,5966,64790,2026-02-16 01:47:28.447
79,200,5966,61458,2026-02-16 01:48:27.702
80,200,5966,492630,2026-02-16 01:49:28.182
81,200,5966,61127,2026-02-16 01:50:27.643
82,200,5966,62865,2026-02-16 01:51:27.108
83,200,5966,58535,2026-02-16 01:52:27.135
84,200,5966,55527,2026-02-16 01:53:27.446
85,200,5966,62083,2026-02-16 01:54:27.674
86,200,5966,73362,2026-02-16 01:55:27.165
87,200,5966,59717,2026-02-16 01:56:27.839
88,200,5966,56227,2026-02-16 01:57:27.093
89,200,5966,56978,2026-02-16 01:58:27.085
90,200,5966,58729,2026-02-16 01:59:26.316
91,200,5966,58546,2026-02-16 02:00:25.952
92,200,5966,59918,2026-02-16 02:01:25.896
93,200,5966,55374,2026-02-16 02:02:25.501
94,200,5966,61648,2026-02-16 02:03:25.236
95,200,5966,65235,2026-02-16 02:04:24.737
96,200,5966,76622,2026-02-16 02:05:25.605
97,200,5966,65541,2026-02-16 02:06:25.352
98,200,5966,83773,2026-02-16 02:07:25.374
99,200,5966,64516,2026-02-16 02:08:25.576
100,200,5966,57846,2026-02-16 02:09:24.922
101,200,5966,54463,2026-02-16 02:10:25.955
102,200,5966,62986,2026-02-16 02:11:25.518
103,200,5966,64872,2026-02-16 02:12:24.641
104,200,5966,211366,2026-02-16 02:13:24.436
105,200,5966,59480,2026-02-16 02:14:24.311
106,200,5966,68038,2026-02-16 02:15:24.168
107,200,5966,61591,2026-02-16 02:16:23.284
108,200,5966,62636,2026-02-16 02:17:23.661
109,200,5966,56088,2026-02-16 02:18:22.921
110,200,5966,257271,2026-02-16 02:19:23.975
111,200,5966,72552,2026-02-16 02:20:24.765
112,200,5966,56348,2026-02-16 02:21:23.950
113,200,5966,64873,2026-02-16 02:22:24.448
114,200,5966,55349,2026-02-16 02:23:24.938
115,200,5966,71276,2026-02-16 02:24:24.378
116,200,5966,58661,2026-02-16 02:25:24.141
117,200,5966,53544,2026-02-16 02:26:23.534
118,200,5966,55924,2026-02-16 02:27:23.957
119,200,5966,65123,2026-02-16 02:28:23.564
120,200,5966,56815,2026-02-16 02:29:22.897
121,200,5966,66570,2026-02-16 02:30:22.244
122,200,5966,55092,2026-02-16 02:31:23.105
123,200,5966,61069,2026-02-16 02:32:23.442
124,200,5966,54792,2026-02-16 02:33:23.072
125,200,5966,55055,2026-02-16 02:34:22.953
126,200,5966,67330,2026-02-16 02:35:23.471
127,200,5966,55413,2026-02-16 02:36:23.926
128,200,5966,56031,2026-02-16 02:37:24.344
129,200,5966,56289,2026-02-16 02:38:23.807
130,200,5966,83830,2026-02-16 02:39:24.387
131,200,5966,74565,2026-02-16 02:40:23.815
132,200,5966,49811,2026-02-16 02:41:23.309
133,200,5966,55118,2026-02-16 02:42:23.275
134,200,5966,91949,2026-02-16 02:43:23.018
135,200,5966,56196,2026-02-16 02:44:22.448
136,200,5966,58446,2026-02-16 02:45:21.974
137,200,5966,270376,2026-02-16 02:46:23.004
138,200,5966,56479,2026-02-16 02:47:22.358
139,200,5966,57629,2026-02-16 02:48:22.593
140,200,5966,52432,2026-02-16 02:49:22.287
141,200,5966,115637,2026-02-16 02:50:21.607
142,200,5966,56738,2026-02-16 02:51:21.794
143,200,5966,68360,2026-02-16 02:52:22.367
144,200,5966,67914,2026-02-16 02:53:23.295
145,200,5966,59929,2026-02-16 02:54:22.742
146,200,5966,66125,2026-02-16 02:55:23.685
147,200,5966,59774,2026-02-16 02:56:23.828
148,200,5966,66502,2026-02-16 02:57:24.633
149,200,5966,57297,2026-02-16 02:58:25.403
150,200,5966,64329,2026-02-16 02:59:25.521
151,200,5966,62751,2026-02-16 03:00:24.951
152,200,5966,57115,2026-02-16 03:01:24.839
153,200,5966,75042,2026-02-16 03:02:25.028
154,200,5966,51040,2026-02-16 03:03:25.153
155,200,5966,56336,2026-02-16 03:04:25.057
156,200,5966,67235,2026-02-16 03:05:24.598
157,200,5966,56197,2026-02-16 03:06:24.531
158,200,5966,61063,2026-02-16 03:07:23.812
159,200,5966,61285,2026-02-16 03:08:23.163
160,200,5966,57502,2026-02-16 03:09:23.615
161,200,5966,53875,2026-02-16 03:10:23.113
162,200,5966,64512,2026-02-16 03:11:22.965
163,200,5966,64189,2026-02-16 03:12:22.710
164,200,5966,60344,2026-02-16 03:13:22.086
165,200,5966,215160,2026-02-16 03:14:22.845
166,200,5966,65151,2026-02-16 03:15:22.676
167,200,5966,59097,2026-02-16 03:16:21.897
168,200,5966,69777,2026-02-16 03:17:21.099
169,200,5966,57192,2026-02-16 03:18:20.362
170,200,5966,60113,2026-02-16 03:19:21.386
171,200,5966,206859,2026-02-16 03:20:21.898
172,200,5966,67529,2026-02-16 03:21:21.151
173,200,5966,68623,2026-02-16 03:22:20.991
174,200,5966,59939,2026-02-16 03:23:21.878
175,200,5966,54995,2026-02-16 03:24:22.892
176,200,5966,67891,2026-02-16 03:25:22.819
177,200,5966,55399,2026-02-16 03:26:22.983
178,200,5966,58807,2026-02-16 03:27:22.287
179,200,5966,59335,2026-02-16 03:28:21.801
180,200,5966,65633,2026-02-16 03:29:22.749
181,200,5966,60860,2026-02-16 03:30:22.451
