AM,mirrors.teamcloud.am,178.160.211.197,178.160.208.0/21,AS12297,Armenia Telephone Company
AT,centos.anexia.at,2a00:11c0:48:b:144:208:213:156,2a00:11c0:48::/48,AS47147,ANX-INFRASTRUCTURE-PA
AT,centos.anexia.at,144.208.213.156,144.208.213.0/24,AS42473,ANEXIA
AT,mirror.alwyzon.net,46.102.157.26,46.102.157.0/24,AS40994,
AT,mirror.alwyzon.net,2a0d:f302:99:0:e207:1bff:fe6a:e7b1,2a0d:f302::/32,AS40994,
AT,mirror.digitalnova.at,85.126.154.4,85.126.0.0/15,AS8412,Magenta Telekom
AT,mirror.nextlayer.at,2a01:190:1600:2300::117,2a01:190::/32,AS1764,AT-NEXTLAYER-20060807
AT,mirror.nextlayer.at,213.208.154.150,213.208.154.0/24,AS62239,
AU,ap.edge.kernel.org,147.75.48.161,147.75.48.0/24,AS54825,"Equinix Services, Inc."
AU,ap.edge.kernel.org,2604:1380:40f1:3f00::1,2604:1380:40f0::/44,AS54825,"Equinix Services, Inc."
AU,"melbourneitmirror.net, fedora.melbourneitmirror.net",2606:4700:3037::6815:593e,2606:4700:3037::/48,AS13335,"Cloudflare, Inc."
AU,"melbourneitmirror.net, fedora.melbourneitmirror.net",172.67.156.225,172.67.144.0/20,AS13335,"Cloudflare, Inc."
AU,"melbourneitmirror.net, fedora.melbourneitmirror.net",2606:4700:3032::ac43:9ce1,2606:4700:3032::/48,AS13335,"Cloudflare, Inc."
AU,"melbourneitmirror.net, fedora.melbourneitmirror.net",104.21.89.62,104.21.80.0/20,AS13335,"Cloudflare, Inc."
AU,"melbourneitmirror.net, fedora.melbourneitmirror.net",2606:4700:3037::6815:593e,2606:4700:3037::/48,AS13335,"Cloudflare, Inc."
AU,"melbourneitmirror.net, fedora.melbourneitmirror.net",172.67.156.225,172.67.144.0/20,AS13335,"Cloudflare, Inc."
AU,"melbourneitmirror.net, fedora.melbourneitmirror.net",2606:4700:3032::ac43:9ce1,2606:4700:3032::/48,AS13335,"Cloudflare, Inc."
AU,"melbourneitmirror.net, fedora.melbourneitmirror.net",104.21.89.62,104.21.80.0/20,AS13335,"Cloudflare, Inc."
AU,fedora.mirror.serversaustralia.com.au,27.50.85.11,27.50.85.0/24,AS45671,Servers Australia Pty. Ltd
AU,ftp.iinet.net.au,150.101.135.3,150.101.135.0/24,AS135091,Proxy-registered route object
AU,ftp.swin.edu.au,2001:388:6080:64::dc41:1cf,2001:388::/32,AS7575,AARNet
AU,ftp.swin.edu.au,136.186.1.76,136.186.0.0/16,AS7575,Swinburne University
AU,gsl-syd.mm.fcix.net,45.121.210.231,45.121.210.0/24,AS38220,Proxy route object registered by AS2764
AU,gsl-syd.mm.fcix.net,2401:3bc0:b:3::231,2401:3bc0:b::/48,AS137409,Sydney - Dedi Clients
AU,lchs.mm.fcix.net,2001:df1:b80:1::241:0,2001:df1:b80::/48,AS139466,LATROBE COMMUNITY HEALTH SERVICE LIMITED
AU,lchs.mm.fcix.net,103.141.199.241,103.141.199.0/24,AS139466,LATROBE COMMUNITY HEALTH SERVICE LIMITED
AU,mirror.aarnet.edu.au,202.158.214.106,202.158.214.0/23,AS7575,AARNet
AU,mirror.aarnet.edu.au,2001:388:30bc:cafe::beef,2001:388::/32,AS7575,AARNet
AU,syd.mirror.rackspace.com,119.9.32.73,119.9.0.0/18,AS12200,Rackspace
AZ,mirror.ourhost.az,94.20.141.19,94.20.141.0/24,AS215148,DELTA-CC
AZ,mirror.yer.az,62.212.239.34,62.212.239.0/24,AS29049,Delta Telecom IP Range
BE,fedora.cu.be,194.50.97.16,194.50.97.0/24,AS39628,FirstLink Networks route object
BE,mirrors.centos.behostings.net,193.138.101.173,193.138.101.0/24,AS6696,
BE,"fedora.mirror-services.net, mirror-services.net",2a02:a03f:8b33:3d00::cafe,2a02:a000::/26,AS5432,BE-BELGACOM-20110525
BE,"fedora.mirror-services.net, mirror-services.net",193.121.15.225,193.121.0.0/16,AS5432,Proximus-FIA
BE,"fedora.mirror-services.net, mirror-services.net",2a02:a03f:8b33:3d00::cafe,2a02:a000::/26,AS5432,BE-BELGACOM-20110525
BE,"fedora.mirror-services.net, mirror-services.net",193.121.15.225,193.121.0.0/16,AS5432,Proximus-FIA
BE,mirror.unix-solutions.be,185.111.204.146,185.111.204.0/24,AS39923,Unix-Solutions Leuven
BE,mirror.unix-solutions.be,2a04:6480:101::146,2a04:6480::/29,AS39923,Unix-Solutions V6 Leuven
BG,epel.uni-sofia.bg,62.44.96.38,62.44.96.0/24,AS5421,St. Kliment Ohridski University of Sofia Research Network
